x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
"['[[x:', '0.57721114']","['y:', '0.58288']","[',', 'x:', '0.5642929']","['y:', '0.5633776']","[',', 'x:', '0.5633587']","['y:', '0.5527132']","[',', 'x:', '0.5765369']","['y:', '0.5564224']","[',', 'x:', '0.5895885']","['y:', '0.55924743']","[',', 'x:', '0.56855285']","['y:', '0.5183857']","[',', 'x:', '0.58125716']","['y:', '0.5087632']","[',', 'x:', '0.58472514']","['y:', '0.5204232']","[',', 'x:', '0.5866371']","['y:', '0.53368515']","[',', 'x:', '0.5817136']","['y:', '0.5261258']","[',', 'x:', '0.6006237']","['y:', '0.5469341']","[',', 'x:', '0.60290223']","['y:', '0.5702675']","[',', 'x:', '0.6033183']","['y:', '0.58422565']","[',', 'x:', '0.59433043']","['y:', '0.5451139']","[',', 'x:', '0.6095497']","['y:', '0.57664376']","[',', 'x:', '0.6054129']","['y:', '0.59582853']","[',', 'x:', '0.5999625']","['y:', '0.6043648']","[',', 'x:', '0.6036903']","['y:', '0.567804']","[',', 'x:', '0.6134783']","['y:', '0.5937249']","[',', 'x:', '0.60990024']","['y:', '0.60791975']","[',', 'x:', '0.60519594']","['y:', '0.61558306']"
"[',', 'x:', '0.62907434']","['y:', '0.6316164']","[',', 'x:', '0.65622795']","['y:', '0.6310606']","[',', 'x:', '0.6768139']","['y:', '0.61779505']","[',', 'x:', '0.68013954']","['y:', '0.6185256']","[',', 'x:', '0.677717']","['y:', '0.62301487']","[',', 'x:', '0.65812343']","['y:', '0.5004335']","[',', 'x:', '0.68389976']","['y:', '0.5535624']","[',', 'x:', '0.67734206']","['y:', '0.6026056']","[',', 'x:', '0.6676096']","['y:', '0.6178881']","[',', 'x:', '0.6343091']","['y:', '0.5012518']","[',', 'x:', '0.65880924']","['y:', '0.5585196']","[',', 'x:', '0.6536943']","['y:', '0.6002253']","[',', 'x:', '0.6454072']","['y:', '0.6118899']","[',', 'x:', '0.61261135']","['y:', '0.5179357']","[',', 'x:', '0.63135386']","['y:', '0.56446624']","[',', 'x:', '0.6299215']","['y:', '0.60116005']","[',', 'x:', '0.624166']","['y:', '0.6113086']","[',', 'x:', '0.59391606']","['y:', '0.5472034']","[',', 'x:', '0.5993554']","['y:', '0.54691815']","[',', 'x:', '0.59924364']","['y:', '0.53613573']","[',', 'x:', '0.6001174']","['y:', '0.51758987']"
